actor_id,first_name,last_name,last_update
188.0,Rock,Dukakis,2006-02-15 04:34:33
189.0,Cuba,Birch,2006-02-15 04:34:33
190.0,Audrey,Bailey,2006-02-15 04:34:33
191.0,Gregory,Gooding,2006-02-15 04:34:33
192.0,John,Suvari,2006-02-15 04:34:33
193.0,Burt,Temple,2006-02-15 04:34:33
194.0,Meryl,Allen,2006-02-15 04:34:33
195.0,Jayne,Silverstone,2006-02-15 04:34:33
196.0,Bela,Walken,2006-02-15 04:34:33
197.0,Reese,West,2006-02-15 04:34:33
198.0,Mary,Keitel,2006-02-15 04:34:33
199.0,Julia,Fawcett,2006-02-15 04:34:33
200.0,Thora,Temple,2006-02-15 04:34:33
